File1,File2,Similarity_Percent
sc-est2022-agesex-civ.csv,sc-est2022-alldata6.csv,41.2
sc-est2022-agesex-civ.csv,sc-est2022-alldata5.csv,41.2
sc-est2022-agesex-civ.csv,NST-EST2022-POPCHG2020_2022.csv,16.1
sc-est2022-agesex-civ.csv,NST-EST2022-ALLDATA.csv,9.8
sc-est2022-agesex-civ.csv,nc-est2022-alldata-n-file06.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-p-file02.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-p-file07.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-p-file03.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-r-file07.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-n-file02.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-c-file05.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-p-file04.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-h-file01.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-p-file05.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-h-file06.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-c-file08.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-p-file01.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-r-file03.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-r-file04.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-r-file06.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-r-file01.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-c-file06.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-c-file04.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-c-file01.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-agesex-res.csv,13.3
sc-est2022-agesex-civ.csv,nc-est2022-alldata-c-file03.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-n-file01.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-n-file07.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-n-file08.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-n-file04.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-h-file02.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-n-file05.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-r-file08.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-n-file03.csv,1.1
sc-est2022-agesex-civ.csv,nc-est2022-alldata-p-file08.csv,1.1
